week,cci_score
1,3.0692307692307694
2,3.027972027972028
3,2.9190938511326863
4,2.797202797202797
5,2.8646153846153846
6,2.9766666666666666
7,2.83974358974359
8,2.8858024691358026
9,2.8527397260273974
10,3.1396103896103895
11,2.9851190476190474
12,2.719242902208202
13,2.90633608815427
14,2.809941520467836
15,2.875776397515528
16,2.9548192771084336
17,2.830564784053156
18,2.9130434782608696
19,2.771043771043771
20,2.9365558912386707
21,2.9749216300940438
22,2.98159509202454
23,2.8511904761904763
24,3.0535211267605633
25,2.793103448275862
26,3.0091463414634148
27,2.755043227665706
28,2.944954128440367
29,2.9789156626506026
30,3.018867924528302
31,2.9805825242718447
32,2.95114006514658
33,3.0089820359281436
34,2.947712418300654
35,2.780141843971631
36,3.222910216718266
37,3.0208333333333335
38,3.026706231454006
39,2.9842767295597485
40,2.926760563380282
41,3.051282051282051
42,3.1094224924012157
43,3.021604938271605
44,3.1333333333333333
45,2.840625
46,3.032835820895522
47,2.9734513274336285
48,3.0117994100294987
49,2.9448275862068964
50,3.0833333333333335
51,3.025830258302583
52,3.1481481481481484
53,2.71875
