week_no,Prop_of_em
1,0.328690808
2,0.326471799
3,0.337463858
4,0.328131417
5,0.30974478
6,0.306408798
7,0.330464072
8,0.323712949
9,0.317430503
10,0.309097978
11,0.30922039
12,0.304803178
13,0.31756509
14,0.312708411
15,0.302617029
16,0.305986696
17,0.30195178
18,0.298442593
19,0.29726776
20,0.319846529
21,0.310030395
22,0.313932339
23,0.297405919
24,0.30980818
25,0.310738766
26,0.308767952
27,0.326699211
28,0.310370648
29,0.308120133
30,0.31090573
31,0.325310267
32,0.306245297
33,0.327335375
34,0.32342589
35,0.314835787
36,0.326957777
37,0.303630363
38,0.317384953
39,0.325925926
40,0.328295255
41,0.315651849
42,0.305657605
43,0.301112656
44,0.308839191
45,0.311777457
46,0.298588491
47,0.293184277
48,0.298634182
49,0.304640719
50,0.300505051
51,0.330708661
52,0.330440174
53,0.324652778
